,AudioFileName,Speaker,StartTS,EndTS,Language
0,diarization_sample_0001.wav,Speaker_00,0.0,14.0,hi
1,diarization_sample_0001.wav,Speaker_00,15.2,29.2,hi
2,diarization_sample_0002.wav,Speaker_01,0.0,10.9,en
3,diarization_sample_0002.wav,Speaker_02,11.576,13.778,hi
4,diarization_sample_0002.wav,Speaker_01,14.564,23.014,en
5,diarization_sample_0002.wav,Speaker_00,23.338,38.478,en
6,diarization_sample_0002.wav,Speaker_01,39.396,52.23,en
7,diarization_sample_0003.wav,Speaker_01,0.0,10.358,en
8,diarization_sample_0003.wav,Speaker_00,9.515,13.206,en
9,diarization_sample_0003.wav,Speaker_01,13.541,17.315,en
10,diarization_sample_0003.wav,Speaker_02,18.0,23.824,hi
11,diarization_sample_0003.wav,Speaker_01,22.861,33.218,en
12,diarization_sample_0003.wav,Speaker_01,34.028,39.112,en
13,diarization_sample_0003.wav,Speaker_02,39.452,45.179,hi
14,diarization_sample_0004.wav,Speaker_01,0.0,11.677,pa
15,diarization_sample_0004.wav,Speaker_00,11.28,12.074,en
16,diarization_sample_0004.wav,Speaker_00,13.195,13.608,en
17,diarization_sample_0004.wav,Speaker_00,14.526,15.43,en
18,diarization_sample_0005.wav,Speaker_00,0.0,26.365,en
19,diarization_sample_0005.wav,Speaker_01,27.614,38.334,en
20,diarization_sample_0005.wav,Speaker_00,39.832,45.341,en
21,diarization_sample_0006.wav,Speaker_00,0.0,7.679,en
22,diarization_sample_0006.wav,Speaker_01,8.087,8.779,en
23,diarization_sample_0006.wav,Speaker_00,9.565,17.244,en
24,diarization_sample_0006.wav,Speaker_01,17.99,19.111,en
25,diarization_sample_0006.wav,Speaker_00,18.424,26.103,en
26,diarization_sample_0006.wav,Speaker_01,25.313,31.943,en
27,diarization_sample_0006.wav,Speaker_00,32.261,39.941,en
28,diarization_sample_0006.wav,Speaker_00,40.473,42.773,en
29,diarization_sample_0006.wav,Speaker_00,43.221,45.521,en
30,diarization_sample_0006.wav,Speaker_01,45.827,52.457,en
31,diarization_sample_0006.wav,Speaker_01,53.778,60.408,en
32,diarization_sample_0007.wav,Speaker_00,0.0,11.144,hi
33,diarization_sample_0007.wav,Speaker_01,11.538,31.511,hi
34,diarization_sample_0008.wav,Speaker_00,0.0,6.112,en
35,diarization_sample_0008.wav,Speaker_01,6.908,13.338,en
36,diarization_sample_0008.wav,Speaker_00,11.983,18.222,en
37,diarization_sample_0008.wav,Speaker_01,19.043,20.294,en
38,diarization_sample_0008.wav,Speaker_00,21.044,27.156,en
39,diarization_sample_0008.wav,Speaker_02,28.455,40.115,pa
40,diarization_sample_0009.wav,Speaker_01,0.0,9.116,hi
41,diarization_sample_0009.wav,Speaker_00,9.441,15.802,en
42,diarization_sample_0010.wav,Speaker_00,0.0,1.679,en
43,diarization_sample_0010.wav,Speaker_03,1.347,2.012,hi
44,diarization_sample_0010.wav,Speaker_03,3.237,3.902,hi
45,diarization_sample_0010.wav,Speaker_01,4.765,8.105,en
46,diarization_sample_0010.wav,Speaker_03,9.367,10.032,hi
47,diarization_sample_0010.wav,Speaker_02,10.454,23.769,pa
48,diarization_sample_0010.wav,Speaker_01,24.366,27.706,en
49,diarization_sample_0010.wav,Speaker_03,29.125,29.79,hi
50,diarization_sample_0010.wav,Speaker_03,31.19,31.855,hi
51,diarization_sample_0010.wav,Speaker_03,32.999,33.664,hi
52,diarization_sample_0010.wav,Speaker_01,34.203,36.581,en
53,diarization_sample_0010.wav,Speaker_00,37.1,46.501,en
54,diarization_sample_0011.wav,Speaker_02,0.0,2.373,hi
55,diarization_sample_0011.wav,Speaker_02,3.545,5.918,hi
56,diarization_sample_0011.wav,Speaker_02,7.285,9.658,hi
57,diarization_sample_0011.wav,Speaker_02,10.921,13.294,hi
58,diarization_sample_0011.wav,Speaker_01,14.72,22.808,hi
59,diarization_sample_0011.wav,Speaker_01,23.562,32.844,hi
60,diarization_sample_0011.wav,Speaker_00,34.225,40.13,en
61,diarization_sample_0011.wav,Speaker_02,38.943,41.316,hi
62,diarization_sample_0011.wav,Speaker_01,42.684,52.482,hi
63,diarization_sample_0011.wav,Speaker_02,53.156,55.529,hi
64,diarization_sample_0012.wav,Speaker_02,0.0,8.305,hi
65,diarization_sample_0012.wav,Speaker_00,9.618,15.418,en
66,diarization_sample_0012.wav,Speaker_00,16.861,21.028,en
67,diarization_sample_0012.wav,Speaker_01,22.422,28.239,en
68,diarization_sample_0012.wav,Speaker_01,29.566,35.383,en
69,diarization_sample_0012.wav,Speaker_01,36.739,37.254,en
70,diarization_sample_0012.wav,Speaker_00,38.556,44.356,en
71,diarization_sample_0013.wav,Speaker_01,0.0,3.58,en
72,diarization_sample_0013.wav,Speaker_00,4.429,24.195,en
73,diarization_sample_0014.wav,Speaker_00,0.0,14.154,en
74,diarization_sample_0014.wav,Speaker_01,14.846,34.399,hi
75,diarization_sample_0014.wav,Speaker_01,35.877,42.373,hi
76,diarization_sample_0014.wav,Speaker_01,43.064,44.581,hi
77,diarization_sample_0014.wav,Speaker_01,46.054,52.55,hi
78,diarization_sample_0014.wav,Speaker_01,53.669,58.506,hi
79,diarization_sample_0015.wav,Speaker_01,0.0,10.095,en
80,diarization_sample_0015.wav,Speaker_00,10.545,15.176,en
81,diarization_sample_0015.wav,Speaker_00,16.423,17.734,en
82,diarization_sample_0015.wav,Speaker_00,18.365,22.997,en
83,diarization_sample_0016.wav,Speaker_00,0.0,4.574,en
84,diarization_sample_0016.wav,Speaker_00,5.263,15.876,en
85,diarization_sample_0017.wav,Speaker_00,0.0,7.362,hi
